scheme_code,scheme_name,aum_cr
152961,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Dec 2025 Fund,23.62
152958,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Dec 2025 Fund-Direct Growth,275.48
152945,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Sep 2026 Fund,35.13
152947,Aditya Birla Sun Life Crisil-IBX AAA NBFC-HFC Index-Sep 2026 Fund-Direct Growth,193.94
153178,Aditya Birla Sun Life Crisil-IBX Financial Services 3 to 6 Months  Debt Index Fund,0.05
153177,Aditya Birla Sun Life Crisil-IBX Financial Services 3 to 6 Months Debt Index Fund,492.51
153176,Aditya Birla Sun Life Crisil-IBX Financial Services 3 to 6 months Debt Index Fund-Direct IDCW Payout,4.31
153445,Aditya Birla Sun Life Crisil-IBX Financial Services 9-12 Months Debt Index Fund,217.35
153443,Aditya Birla Sun Life Crisil-IBX Financial Services 9-12 Months Debt Index Fund-Direct Growth,708.26
153444,Aditya Birla Sun Life Crisil-IBX Financial Services 9-12 Months Debt Index Fund-Direct IDCW Payout,0.02
153179,Aditya Birla Sun Life Crisil-IBX financial Services 3 to 6 months Debt Index Fund-Direct Growth,2868.45
103168,Aditya Birla Sun Life Digital India Fund,3187.98
120538,Aditya Birla Sun Life Digital India Fund -DIRECT,55.98
101738,Aditya Birla Sun Life Dividend Yield Fund,1322.14
119506,Aditya Birla Sun Life Dividend Yield Fund -DIRECT,14.57
132180,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF,202.84
132187,Aditya Birla Sun Life Dynamic Asset Allocation Omni FOF- Direct,0.53
102767,Aditya Birla Sun Life Dynamic Bond Fund,1042.19
119503,Aditya Birla Sun Life Dynamic Bond Fund -DIRECT - MONTHLY IDCW,0.53
132918,Aditya Birla Sun Life Dynamic Bond Fund -Direct,1.37
119502,Aditya Birla Sun Life Dynamic Bond Fund -Direct - Quarterly IDCW,0.92
107745,Aditya Birla Sun Life ELSS Tax Saver Fund,12477.59
119543,Aditya Birla Sun Life ELSS Tax Saver Fund-DIRECT,134.83
148636,Aditya Birla Sun Life ESG Integration Strategy Fund,579.07
148640,Aditya Birla Sun Life ESG Integration Strategy Fund-Direct - Payout of IDCW,0.67
103155,Aditya Birla Sun Life Equity Hybrid'95 Fund,6488.02
120518,Aditya Birla Sun Life Equity Hybrid'95 Fund -DIRECT,60.04
132997,Aditya Birla Sun Life Equity Savings Fund,469.31
132996,Aditya Birla Sun Life Equity Savings Fund - Direct,0.94
149015,Aditya Birla Sun Life Fixed Term Plan - Series TI (1837 days),33.61
149064,Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 days),4.97
150314,Aditya Birla Sun Life Fixed Term Plan - Series TQ (1879 days),5.78
151189,Aditya Birla Sun Life Fixed Term Plan - Series UB (1224 days),7.01
151703,Aditya Birla Sun Life Fixed Term Plan - Series UJ (1110 days),11.09
103166,Aditya Birla Sun Life Flexi Cap Fund,18448.37
120565,Aditya Birla Sun Life Flexi Cap Fund -DIRECT,43.37
122643,Aditya Birla Sun Life Floating Rate Fund,1152.22
122645,Aditya Birla Sun Life Floating Rate Fund-Direct - daily IDCW,0.22
122648,Aditya Birla Sun Life Floating Rate Fund-Direct - weekly IDCW,10.09
122649,Aditya Birla Sun Life Floating Rate Fund-RETAIL - WEEKLY IDCW,0.18
122650,Aditya Birla Sun Life Floating Rate Fund-Retail Plan,44.73
103309,Aditya Birla Sun Life Focused Fund,6343.37
119563,Aditya Birla Sun Life Focused Fund -Direct,23.3
132139,Aditya Birla Sun Life Global Emerging Opportunities Fund,1.27
132141,Aditya Birla Sun Life Global Emerging Opportunities Fund - Direct,0.26
132003,Aditya Birla Sun Life Global Excellence Equity Fund Of Fund,3.9
132005,Aditya Birla Sun Life Global Excellence Equity Fund Of Fund- Retail Plan,132.98
132010,Aditya Birla Sun Life Global Excellence Equity Fund Of Fund-DIRECT - RETAIL,0.15
115127,Aditya Birla Sun Life Gold ETF,1252.91
116796,Aditya Birla Sun Life Gold Fund,472.98
120545,Aditya Birla Sun Life Gold Fund-DIRECT,3.5
100057,Aditya Birla Sun Life Govenment Securities Fund,3.61
119606,Aditya Birla Sun Life Govenment Securities Fund -DIRECT - Quarterly IDCW,1.4
100058,Aditya Birla Sun Life Government Securities Fund,522.7
100038,Aditya Birla Sun Life Income Fund,849.61
133446,Aditya Birla Sun Life Income Fund - Direct,0.14
119655,Aditya Birla Sun Life Income Fund - Direct - Quarterly IDCW,0.47
131895,Aditya Birla Sun Life Income Plus Arbitrage Active FOF,146.78
131897,Aditya Birla Sun Life Income Plus Arbitrage Active FOF- DIRECT,0.25
103475,Aditya Birla Sun Life Infrastructure Fund,979.16
119515,Aditya Birla Sun Life Infrastructure Fund -  Direct,5.9
106873,Aditya Birla Sun Life International Equity Fund,184.58
119516,Aditya Birla Sun Life International Equity Fund - Direct,2.16
106412,Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1,3.76
106413,Aditya Birla Sun Life Interval Income Fund - Quarterly Series 1 - institutional,0.01
100033,Aditya Birla Sun Life Large & Mid Cap Fund,5012.55
119433,Aditya Birla Sun Life Large & Mid Cap Fund -Direct,21.82
103174,Aditya Birla Sun Life Large Cap Fund,24332.33
119527,Aditya Birla Sun Life Large Cap Fund-DIRECT,167.74
100047,Aditya Birla Sun Life Liquid Fund,8314.15
119571,Aditya Birla Sun Life Liquid Fund -DIRECT,6837.49
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,89.98
119569,Aditya Birla Sun Life Liquid Fund -Direct - daily IDCW,154.62
119570,Aditya Birla Sun Life Liquid Fund -Direct - weekly IDCW,14.91
100041,Aditya Birla Sun Life Liquid Fund -Institutional,0.21
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,0.06
100044,Aditya Birla Sun Life Liquid Fund -Retail,0.57
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,138.98
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),1.66
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),19.82
150482,Aditya Birla Sun Life Long Duration Fund,97.53
150484,Aditya Birla Sun Life Long Duration Fund-Direct Growth,63.76
150485,Aditya Birla Sun Life Long Duration Fund-Direct IDCW Payout,0.28
103192,Aditya Birla Sun Life Low Duration Fund,6681.23
103195,Aditya Birla Sun Life Low Duration Fund - Institutional Plan,2.48
119524,Aditya Birla Sun Life Low Duration Fund -Direct - daily IDCW,0.96
119522,Aditya Birla Sun Life Low Duration Fund -Direct - weekly IDCW,0.6
101592,Aditya Birla Sun Life MIDCAP Fund,5166.7
100064,Aditya Birla Sun Life MNC Fund,3132.91
119647,Aditya Birla Sun Life MNC Fund - DIRECT,13.57
133515,Aditya Birla Sun Life Manufacturing Equity Fund,1007.92
133514,Aditya Birla Sun Life Manufacturing Equity Fund - Direct,3.24
111803,Aditya Birla Sun Life Medium Term Plan,1676.28
119540,Aditya Birla Sun Life Medium Term Plan - DIRECT - HALF YEARLY IDCW,2.68
119541,Aditya Birla Sun Life Medium Term Plan - DIRECT - Quarterly IDCW,4.54
119538,Aditya Birla Sun Life Medium Term Plan - Direct,2.83
101591,Aditya Birla Sun Life Midcap Fund,204.6
119619,Aditya Birla Sun Life Midcap Fund -DIRECT,14.59
101976,Aditya Birla Sun Life Money Manager Fund,6065.78
101973,Aditya Birla Sun Life Money Manager Fund - Daily IDCW,3.52
119513,Aditya Birla Sun Life Money Manager Fund - Direct - daily IDCW,6.09
119512,Aditya Birla Sun Life Money Manager Fund - Direct - weekly IDCW,1.29
101970,Aditya Birla Sun Life Money Manager Fund - RETAIL - WEEKLY IDCW,0.11
101972,Aditya Birla Sun Life Money Manager Fund - Retail - Daily IDCW,0.17
101971,Aditya Birla Sun Life Money Manager Fund - Retail Growth,8.4
101974,Aditya Birla Sun Life Money Manager Fund - WEEKLY IDCW,15.05
151309,Aditya Birla Sun Life Multi Asset Allocation Fund,4188.58
151307,Aditya Birla Sun Life Multi Asset Allocation Fund-Direct Growth,261.2
151308,Aditya Birla Sun Life Multi Asset Allocation Fund-Direct IDCW,1.38
131866,Aditya Birla Sun Life Multi Asset Omni FOF-DIRECT,0.29
131864,Aditya Birla Sun Life Multi Asset Omni FoF,217.48
150690,Aditya Birla Sun Life Multi-Asset Passive FOF,5.92
150688,Aditya Birla Sun Life Multi-Asset Passive FOF-Direct Growth,13.21
150689,Aditya Birla Sun Life Multi-Asset Passive FOF-Direct IDCW,0.08
148918,Aditya Birla Sun Life Multi-Cap Fund,6108.2
148921,Aditya Birla Sun Life Multi-Cap Fund-Direct Growth,434.64
148920,Aditya Birla Sun Life Multi-Cap Fund-Direct IDCW Payout,3.26
150498,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,46.36
150497,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,28.76
115512,Aditya Birla Sun Life Nifty 50 ETF,3022.44
148965,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,236.46
148963,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund-Direct,1.7
148962,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund-Direct Growth,155.97
101314,Aditya Birla Sun Life Nifty 50 Index Fund,275.01
119649,Aditya Birla Sun Life Nifty 50 Index Fund -DIRECT,3.18
147735,Aditya Birla Sun Life Nifty Bank ETF,2651.31
149262,Aditya Birla Sun Life Nifty Healthcare ETF,36.7
149293,Aditya Birla Sun Life Nifty IT ETF,132.96
152801,Aditya Birla Sun Life Nifty India Defence Index Fund,439.94
152798,Aditya Birla Sun Life Nifty India Defence Index Fund-Direct Growth,246.9
152799,Aditya Birla Sun Life Nifty India Defence Index Fund-Direct IDCW Payout,3.07
148806,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,105.11
148809,Aditya Birla Sun Life Nifty Midcap 150 Index Fund - Direct - Payout of IDCW,2.4
148807,Aditya Birla Sun Life Nifty Midcap 150 Index Fund-Direct Growth,276.97
149837,Aditya Birla Sun Life Nifty Next 50 Index Fund,80.95
149838,Aditya Birla Sun Life Nifty Next 50 Index Fund-Direct Growth,124.6
149839,Aditya Birla Sun Life Nifty Next 50 Index Fund-Direct IDCW,0.41
152620,Aditya Birla Sun Life Nifty PSE ETF,31.3
149792,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,381.44
149794,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund-Direct Growth,3407.33
149793,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund-Direct IDCW Payout,0.07
149198,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund,1833.69
149199,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Direct Growth,7075.88
149200,Aditya Birla Sun Life Nifty SDL Plus PSU Bond SEP 2026 60:40 Index Fund-Direct IDCW,9.33
150665,Aditya Birla Sun Life Nifty SDL SEP 2025 Index Fund,12.57
151560,Aditya Birla Sun Life Nifty SDL SEP 2027 Index Fund,9.5
151562,Aditya Birla Sun Life Nifty SDL SEP 2027 Index Fund-Direct Growth,24.92
151563,Aditya Birla Sun Life Nifty SDL SEP 2027 Index Fund-Direct IDCW,0.01
150667,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund,0.02
150663,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund-Direct Growth,24.23
150664,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund-Direct IDCW,0.01
148812,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,69.56
148814,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct - Payout of IDCW,1.58
148815,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund-Direct Growth,181.01
147847,Aditya Birla Sun Life PSU Equity Fund,1869.49
147845,Aditya Birla Sun Life PSU Equity Fund-Direct - Payout of IDCW,18.92
147408,Aditya Birla Sun Life Pharma and Healthcare Fund,713.05
147409,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct,137.55
147410,Aditya Birla Sun Life Pharma and Healthcare Fund-Direct - Payout of IDCW,3.6
152686,Aditya Birla Sun Life Quant Fund,2120.0
152684,Aditya Birla Sun Life Quant Fund - Direct Growth,311.23
152685,Aditya Birla Sun Life Quant Fund - Direct IDCW Payout,0.87
101818,Aditya Birla Sun Life Regular Savings Fund,1131.13
120550,Aditya Birla Sun Life Regular Savings Fund - DIRECT - MONTHLY IDCW,10.09
146574,Aditya Birla Sun Life Retirement Fund-The 30s Plan,388.93
146576,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct - Payout of IDCW,1.37
146575,Aditya Birla Sun Life Retirement Fund-The 30s Plan-Direct Growth,24.08
146928,Aditya Birla Sun Life Retirement Fund-The 40s Plan,107.68
146927,Aditya Birla Sun Life Retirement Fund-The 40s Plan- Direct - Payout of IDCW,0.61
146939,Aditya Birla Sun Life Retirement Fund-The 50s Plan,18.04
146937,Aditya Birla Sun Life Retirement Fund-The 50s Plan- Direct - Payout of IDCW,0.21
146942,Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan,15.41
146944,Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan - Direct - Payout of IDCW,0.26
101317,Aditya Birla Sun Life Savings Fund,6900.61
119500,Aditya Birla Sun Life Savings Fund-DIRECT - DAILY IDCW,6.95
119499,Aditya Birla Sun Life Savings Fund-DIRECT - WEEKLY IDCW,184.18
109108,Aditya Birla Sun Life Savings Fund-Retail - Daily IDCW,1.11
101316,Aditya Birla Sun Life Savings Fund-Retail Growth,11.7
105881,Aditya Birla Sun Life Savings Fund-Weekly - retail IDCW,3.2
101844,Aditya Birla Sun Life Short Term Fund,2180.09
119496,Aditya Birla Sun Life Short Term Fund - DIRECT,0.71
119497,Aditya Birla Sun Life Short Term Fund-Quarterly,0.98
149779,Aditya Birla Sun Life Silver ETF,1070.35
149783,Aditya Birla Sun Life Silver ETF FOF,262.24
149780,Aditya Birla Sun Life Silver ETF FOF-Direct Growth,96.75
149781,Aditya Birla Sun Life Silver ETF FOF-Direct IDCW,0.97
105804,Aditya Birla Sun Life Small Cap Fund,4277.93
119557,Aditya Birla Sun Life Small Cap Fund -Direct,12.55
148538,Aditya Birla Sun Life Special Opportunities Fund,751.67
148540,Aditya Birla Sun Life Special Opportunities Fund-Direct,64.97
152161,Aditya Birla Sun Life Transportation and Logistics Fund,1433.31
152158,Aditya Birla Sun Life Transportation and Logistics Fund-Direct Growth,107.82
152159,Aditya Birla Sun Life Transportation and Logistics Fund-Direct IDCW,1.25
149290,Aditya Birla Sun Life US Equity Passive FOF,184.64
149291,Aditya Birla Sun Life US Equity Passive FOF-Direct,238.68
149289,Aditya Birla Sun Life US Equity Passive FOF-Direct IDCW,1.62
152142,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds,9.0
152140,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct Growth,79.95
152139,Aditya Birla Sun Life US Treasury 1-3 Year Bond ETFs Fund Of Funds-Direct IDCW Payout,0.04
152147,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds,28.15
152150,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct Growth,146.05
152145,Aditya Birla Sun Life US Treasury 3-10 Year Bond ETFs Fund Of Funds-Direct IDCW,3.54
108167,Aditya Birla Sun Life Value Fund,5433.94
119658,Aditya Birla Sun Life Value Fund - Direct,10.64
145881,Aditya Birla Sunlife Nifty Next 50 ETF,131.99
144393,Axis Aggressive Hybrid Fund,1457.53
130771,Axis Arbitrage Fund,2050.42
151585,Axis BSE Sensex ETF,132.58
152421,Axis BSE Sensex Index Fund,21.15
141644,Axis Balanced Advantage Fund,3189.07
117447,Axis Banking & PSU Debt Fund,3655.51
151366,Axis Business Cycles Fund,2236.22
151297,Axis CRISIL IBX 50:50 Gilt Plus SDL June 2028 Index Fund,36.64
152516,Axis CRISIL IBX SDL June 2034 Debt Index Fund,1.52
149872,Axis CRISIL IBX SDL May 2027 Index Fund,336.58
153050,Axis CRISIL-IBX AAA Bond Financial Services - Sep 2027 Index Fund,3.66
152886,Axis CRISIL-IBX AAA Bond NBFC - Jun 2027 Index Fund,155.87
153174,Axis CRISIL-IBX AAA Bond NBFC-HFC - Jun 2027 Index Fund,8.48
153880,Axis CRISIL-IBX Financial Services 3-6 Months Debt Index Fund,0.07
135759,Axis Children's Fund - Lock in,751.23
135762,Axis Children's Fund - Lock in - Direct Growth,14.8
135766,Axis Children's Fund - No Lock in,136.67
135764,Axis Children's Fund - No Lock in - Direct Growth,5.69
112927,Axis Conservative Hybrid Fund,265.67
152804,Axis Consumption Fund,3891.36
141589,Axis Corporate Bond Fund,995.05
130309,Axis Credit Risk Fund,320.07
115068,Axis Dynamic Bond Fund,450.02
112323,Axis ELSS Tax Saver Fund,24626.85
147929,Axis ESG Integration Strategy Fund,1116.65
135122,Axis Equity Savings Fund,802.26
151506,Axis Fixed Term Plan - Series 112 (1143 Days),6.2
151588,Axis Fixed Term Plan - Series 113 (1228 Days),5.54
141927,Axis Flexi Cap Fund,11008.88
149047,Axis Floater Fund,43.6
117560,Axis Focused Fund,9593.51
116471,Axis Gilt Fund,157.36
148486,Axis Global Equity Alpha Fund of Fund,697.17
148953,Axis Global Innovation Fund of Fund,407.58
113434,Axis Gold ETF,2090.21
115897,Axis Gold Fund,512.8
148701,Axis Greater China Equity Fund of Fund,280.65
148799,Axis IT ETF,175.97
147898,Axis Income Plus Arbitrage Active FOF,332.01
152205,Axis India Manufacturing Fund,4979.31
148631,Axis Innovation Fund,1070.01
145112,Axis Large & Mid Cap Fund,11960.63
112277,Axis Large Cap Fund,20716.78
112211,Axis Liquid Fund,7002.65
112713,Axis Liquid Fund - Retail Plan,0.21
112712,Axis Liquid Fund - Retail Plan - Daily IDCW,0.03
151206,Axis Long Duration Fund,107.94
114564,Axis Midcap Fund,20739.59
153085,Axis Momentum Fund,1221.98
147575,Axis Money Market Fund,2826.49
113064,Axis Multi Asset Allocation Fund,1365.47
149844,Axis Multi Factor Passive FoF,13.71
149382,Axis Multicap Fund,7217.63
149383,Axis Multicap Fund - Direct Growth,1200.06
150750,Axis NASDAQ 100 US Specific Equity Passive FOF,72.57
148559,Axis NIFTY Bank ETF,361.08
148934,Axis NIFTY Healthcare ETF,20.07
149156,Axis NIFTY India Consumption ETF,14.22
147665,Axis Nifty 100 Index Fund,577.85
141545,Axis Nifty 50 ETF,1003.4
149371,Axis Nifty 50 Index Fund,177.61
152730,Axis Nifty 500 Index Fund,137.69
